Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  25",2.919532928022e-01,-2.565423870079e-01,5.944556221232e-07,2.935415711117e-01,-2.547597897028e-01,1.343986728988e-05,1.588278309468e-03,1.782597305099e-03,1.284541166776e-05
"                  26",3.175645402652e-01,-2.677484011455e-01,8.768023464231e-07,3.193016461630e-01,-2.657773017609e-01,1.090735055237e-05,1.737105897784e-03,1.971099384652e-03,1.003054820595e-05
"                  27",3.028837382914e-01,-2.738161946200e-01,-9.101887216277e-08,3.047042611590e-01,-2.718123661861e-01,5.859253182510e-06,1.820522867628e-03,2.003828433807e-03,5.950272054673e-06
"                  28",2.712071551777e-01,-2.638091413664e-01,-1.056016976186e-06,2.728359957429e-01,-2.620678833130e-01,2.545035592575e-06,1.628840565256e-03,1.741258053360e-03,3.601052568761e-06
"                  29",2.487389933780e-01,-2.408182957341e-01,-1.164157675902e-06,2.500866493956e-01,-2.393611152535e-01,1.604965690505e-06,1.347656017572e-03,1.457180480545e-03,2.769123366407e-06
"                  30",2.378083689142e-01,-2.146480692221e-01,-6.091762079554e-07,2.389676291776e-01,-2.133530346855e-01,2.299615775473e-06,1.159260263410e-03,1.295034536583e-03,2.908791983429e-06
"                  31",2.280831305002e-01,-1.949211541640e-01,-1.548807985113e-07,2.291954737601e-01,-1.936491372265e-01,3.015004017085e-06,1.112343259891e-03,1.272016937429e-03,3.169884815596e-06
"                  32",2.173113143266e-01,-1.872789510181e-01,-1.620740151206e-07,2.184387521144e-01,-1.859797789225e-01,2.504851210483e-06,1.127437787786e-03,1.299172095624e-03,2.666925225604e-06
"                  33",2.098582827113e-01,-1.875431139296e-01,-3.754663476094e-07,2.109771969590e-01,-1.862515605961e-01,1.178382414793e-06,1.118914247741e-03,1.291553333537e-03,1.553848762402e-06
"                  34",2.068366631636e-01,-1.860755236236e-01,-4.168336659142e-07,2.079277186579e-01,-1.848015673950e-01,-2.658735959382e-07,1.091055494284e-03,1.273956228638e-03,1.509600699760e-07
"                  35",2.007427484773e-01,-1.746891889293e-01,-1.933708601997e-07,2.018254706370e-01,-1.733972597460e-01,-1.468571616736e-06,1.082722159712e-03,1.291929183275e-03,-1.275200756536e-06
"                  36",1.856430022443e-01,-1.543323120854e-01,7.441606077293e-08,1.867629332062e-01,-1.529723224586e-01,-2.110788059913e-06,1.119930961929e-03,1.359989626837e-03,-2.185204120686e-06
"                  37",1.630720026006e-01,-1.318936087264e-01,1.852826025179e-07,1.642417221624e-01,-1.304575048013e-01,-2.470360090487e-06,1.169719561725e-03,1.436103925110e-03,-2.655642693005e-06
"                  38",1.406857662702e-01,-1.139611084819e-01,1.061345095541e-07,1.418863707060e-01,-1.124789508518e-01,-2.217058109333e-06,1.200604435768e-03,1.482157630048e-03,-2.323192618887e-06
"                  39",1.244180577152e-01,-1.017172514596e-01,6.380598454395e-09,1.256379953608e-01,-1.001854267427e-01,-1.617808185375e-06,1.219937645606e-03,1.531824716935e-03,-1.624188783829e-06
"                  40",1.138592446432e-01,-9.175358969237e-02,-5.911316096627e-10,1.151163851904e-01,-9.013627307631e-02,-1.227528439758e-06,1.257140547241e-03,1.617316616060e-03,-1.226937308149e-06
"                  41",1.027864205501e-01,-7.943140422197e-02,6.347828999131e-08,1.041362189204e-01,-7.771057322082e-02,-1.130910855986e-06,1.349798370345e-03,1.720831001158e-03,-1.194389145977e-06
"                  42",8.819219505650e-02,-6.447292722713e-02,1.068390537576e-07,8.965526227324e-02,-6.263620798915e-02,-1.174943102312e-06,1.463067216746e-03,1.836719237982e-03,-1.281782156069e-06
"                  43",7.230196052199e-02,-5.007638231243e-02,1.002650069725e-07,7.385152297569e-02,-4.811666376745e-02,-1.877180551297e-06,1.549562453693e-03,1.959718544981e-03,-1.977445558270e-06
"                  44",5.696563408801e-02,-3.702770966502e-02,5.970838512109e-08,5.856858513758e-02,-3.497806879963e-02,-3.866661344887e-06,1.602951049571e-03,2.049640865386e-03,-3.926369730008e-06
"                  45",4.226308643377e-02,-2.402615413902e-02,3.060957937348e-08,4.390705133635e-02,-2.191796825271e-02,-6.848947406348e-06,1.643964902581e-03,2.108185886309e-03,-6.879556985722e-06
"                  46",2.693092906407e-02,-9.983376907980e-03,2.790044226777e-09,2.862792772296e-02,-7.808995299178e-03,-9.005916010060e-06,1.696998658891e-03,2.174381608802e-03,-9.008706054287e-06
"                  47",1.055878829671e-02,4.370864260495e-03,-2.616470581083e-08,1.230720607879e-02,6.621776619956e-03,-1.042585981409e-05,1.748417782082e-03,2.250912359461e-03,-1.039969510828e-05
"                  48",-4.038580848587e-03,1.622787215268e-02,-9.827395776972e-08,-2.238907590638e-03,1.855180534229e-02,-1.163627740722e-05,1.799673257949e-03,2.323933189607e-03,-1.153800344945e-05
"                  49",-1.480310265970e-02,2.453843995530e-02,-1.422098359670e-07,-1.295707614279e-02,2.693711872512e-02,-1.208096466175e-05,1.846026516909e-03,2.398678769820e-03,-1.193875482578e-05
"                  50",-2.189888087116e-02,3.071189298503e-02,-1.735603891076e-07,-2.000943432799e-02,3.319886974697e-02,-1.189558331408e-05,1.889446543174e-03,2.486976761945e-03,-1.172202292498e-05
"                  51",-2.859201339294e-02,3.753998037824e-02,-2.066555582003e-07,-2.667647301281e-02,4.012351859478e-02,-1.055309723620e-05,1.915540380133e-03,2.583538216541e-03,-1.034644167800e-05
"                  52",-3.847615623948e-02,4.682949051843e-02,-2.472745021626e-07,-3.654589043159e-02,4.951938663863e-02,-8.384385413871e-06,1.930265807893e-03,2.689896120201e-03,-8.137110911708e-06
"                  53",-5.219551376587e-02,5.785166657693e-02,-3.083415676510e-07,-5.024070610312e-02,6.066131060646e-02,-5.681858407590e-06,1.954807662751e-03,2.809644029528e-03,-5.373516839939e-06
