Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  37",7.621119122563e-02,1.630864595499e+01,-3.559195279414e-07,2.604023389615e-01,1.632232315382e+01,8.507406332009e-08,1.841911477359e-01,1.367719883112e-02,4.409935912615e-07
"                  38",1.587995596835e-01,1.653838985493e+01,-2.260208799030e-07,3.430984511486e-01,1.655282836618e+01,1.528566640719e-06,1.842988914650e-01,1.443851125163e-02,1.754587520622e-06
"                  39",1.648287262489e-01,1.648204384680e+01,-4.336822499424e-07,3.486334641994e-01,1.649748932032e+01,1.695125568582e-06,1.838047379505e-01,1.544547352190e-02,2.128807818524e-06
"                  40",1.383217703448e-01,1.641799781659e+01,-6.973349175793e-07,3.213868824532e-01,1.643446788604e+01,1.912144228274e-06,1.830651121084e-01,1.647006945027e-02,2.609479145853e-06
"                  41",1.227852888663e-01,1.664666230206e+01,-9.426031126374e-07,3.047211009141e-01,1.666394929734e+01,1.485600992980e-06,1.819358120478e-01,1.728699527155e-02,2.428204105618e-06
"                  42",1.292668844607e-01,1.723218582780e+01,-1.228181292189e-06,3.102946901170e-01,1.725008957885e+01,1.008329716629e-06,1.810278056563e-01,1.790375105513e-02,2.236511008818e-06
"                  43",1.378009573145e-01,1.796296629192e+01,-1.332309791815e-06,3.189259339585e-01,1.798160577195e+01,6.970832210270e-07,1.811249766440e-01,1.863948002998e-02,2.029393012842e-06
"                  44",1.219748031824e-01,1.858647552868e+01,-1.245863678041e-06,3.040054110447e-01,1.860610059474e+01,3.751434858579e-07,1.820306078624e-01,1.962506606012e-02,1.621007163898e-06
"                  45",7.947072864246e-02,1.896628238575e+01,-1.224294630614e-06,2.631660569400e-01,1.898707139272e+01,2.642779243021e-07,1.836953282976e-01,2.078900696933e-02,1.488572554916e-06
"                  46",2.730983035331e-02,1.915983047953e+01,-1.130609222093e-06,2.132037939783e-01,1.918155088958e+01,1.653325696704e-08,1.858939636250e-01,2.172041005474e-02,1.147142479060e-06
"                  47",-1.551043932544e-02,1.927515016885e+01,-9.427741887772e-07,1.730835119888e-01,1.929742862705e+01,-1.178669179629e-07,1.885939513143e-01,2.227845820267e-02,8.249072708144e-07
"                  48",-4.208832890704e-02,1.943436226246e+01,-7.511433282627e-07,1.497977301049e-01,1.945691410839e+01,7.335584397998e-07,1.918860590120e-01,2.255184593010e-02,1.484701768063e-06
"                  49",-6.254409399647e-02,1.977416099751e+01,-4.876421683588e-07,1.329634246151e-01,1.979685551932e+01,1.214855436240e-06,1.955075186116e-01,2.269452181719e-02,1.702497604599e-06
"                  50",-8.848292106622e-02,2.027686952717e+01,-2.596017896244e-07,1.106824535949e-01,2.029978559690e+01,3.084574379528e-07,1.991653746611e-01,2.291606972836e-02,5.680592275772e-07
"                  51",-1.184067215021e-01,2.084398639911e+01,8.884469139410e-09,8.414556802803e-02,2.086720613130e+01,1.490429440090e-06,2.025522895301e-01,2.321973218482e-02,1.481544970951e-06
