Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  29",-2.412417037902e+00,2.652657200638e+01,-6.866622851751e-05,-2.184979485502e+00,2.655294333902e+01,-6.916244930852e-05,2.274375524004e-01,2.637133263256e-02,-4.962207910110e-07
"                  30",-2.192061711402e+00,2.709782195482e+01,-6.963930878182e-05,-1.973499005468e+00,2.712412859327e+01,-6.923508166475e-05,2.185627059338e-01,2.630663845743e-02,4.042271170682e-07
"                  31",-2.255958897032e+00,2.572088575236e+01,-6.915193080273e-05,-2.046177425596e+00,2.574726409917e+01,-6.895249099754e-05,2.097814714356e-01,2.637834680775e-02,1.994398051862e-07
"                  32",-2.433068515907e+00,2.424367589507e+01,-6.863368650922e-05,-2.232114081762e+00,2.427022113336e+01,-6.867468721378e-05,2.009544341453e-01,2.654523829718e-02,-4.100070456162e-08
"                  33",-2.501595580107e+00,2.405501645299e+01,-6.906909346756e-05,-2.307167860513e+00,2.408147409335e+01,-6.912430777665e-05,1.944277195936e-01,2.645764036149e-02,-5.521430909380e-08
"                  34",-2.403615976076e+00,2.484501576340e+01,-7.070100073686e-05,-2.214378947791e+00,2.487132525156e+01,-7.023195779181e-05,1.892370282851e-01,2.630948815625e-02,4.690429450563e-07
"                  35",-2.241405379258e+00,2.545174400887e+01,-7.249400671342e-05,-2.057275412555e+00,2.547805585749e+01,-7.215401456527e-05,1.841299667034e-01,2.631184862572e-02,3.399921481427e-07
"                  36",-2.142878198319e+00,2.529785613491e+01,-7.364767297236e-05,-1.963740302900e+00,2.532424877805e+01,-7.403981354749e-05,1.791378954184e-01,2.639264314296e-02,-3.921405751371e-07
"                  37",-2.145111382896e+00,2.472610803848e+01,-7.419908266899e-05,-1.970084260996e+00,2.475254658923e+01,-7.686509038503e-05,1.750271219005e-01,2.643855074835e-02,-2.666007716034e-06
"                  38",-2.185424501482e+00,2.441043670261e+01,-7.466301731026e-05,-2.013879663432e+00,2.443694361690e+01,-7.836078156003e-05,1.715448380499e-01,2.650691428870e-02,-3.697764249777e-06
"                  39",-2.182706061029e+00,2.456349379156e+01,-7.515000569174e-05,-2.013899307721e+00,2.459010306058e+01,-7.507148992522e-05,1.688067533081e-01,2.660926901885e-02,7.851576652070e-08
"                  40",-2.111701174439e+00,2.483376826218e+01,-7.578007037998e-05,-1.945275071625e+00,2.486050917608e+01,-7.239685988086e-05,1.664261028142e-01,2.674091389802e-02,3.383210499118e-06
"                  41",-2.015484357012e+00,2.480323171099e+01,-7.642464211457e-05,-1.851659628584e+00,2.483018377446e+01,-6.881681592172e-05,1.638247284282e-01,2.695206346856e-02,7.607826192850e-06
"                  42",-1.943747698699e+00,2.444157536238e+01,-7.712023967275e-05,-1.782342329801e+00,2.446868927455e+01,-6.513828599270e-05,1.614053688977e-01,2.711391217231e-02,1.198195368005e-05
"                  43",-1.908568249609e+00,2.400517150649e+01,-7.775317830051e-05,-1.749197710982e+00,2.403237128155e+01,-6.352980620636e-05,1.593705386271e-01,2.719977505659e-02,1.422337209415e-05
"                  44",-1.880832139662e+00,2.375709785506e+01,-7.839693931784e-05,-1.722951361054e+00,2.378428162651e+01,-6.207053033291e-05,1.578807786079e-01,2.718377145228e-02,1.632640898493e-05
"                  45",-1.829596632938e+00,2.368458727991e+01,-7.909765887281e-05,-1.672549650073e+00,2.371169449601e+01,-6.201159807709e-05,1.570469828656e-01,2.710721610569e-02,1.708606079571e-05
"                  46",-1.744992235269e+00,2.357712649724e+01,-7.981553838429e-05,-1.588142006687e+00,2.360423072598e+01,-6.328009849481e-05,1.568502285824e-01,2.710422873588e-02,1.653543988948e-05
"                  47",-1.641868989457e+00,2.325359200990e+01,-8.063699067164e-05,-1.485140902652e+00,2.328069872533e+01,-6.693707934447e-05,1.567280868052e-01,2.710671543219e-02,1.369991132718e-05
"                  48",-1.541531157417e+00,2.272096703431e+01,-8.161425777647e-05,-1.384980048745e+00,2.274802074134e+01,-7.016208196466e-05,1.565511086727e-01,2.705370702633e-02,1.145217581181e-05
"                  49",-1.453838001933e+00,2.208762886126e+01,-8.270925271752e-05,-1.297291282841e+00,2.211459722582e+01,-7.213012722088e-05,1.565467190923e-01,2.696836456654e-02,1.057912549664e-05
"                  50",-1.370397498019e+00,2.146377482092e+01,-8.390441335923e-05,-1.213549677063e+00,2.149059172857e+01,-7.375034561590e-05,1.568478209563e-01,2.681690764886e-02,1.015406774333e-05
"                  51",-1.274893793518e+00,2.087351321818e+01,-8.507332579596e-05,-1.117744956841e+00,2.090003144830e+01,-7.850793905115e-05,1.571488366771e-01,2.651823012647e-02,6.565386744820e-06
