Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  61",-3.187935341351e+00,3.704667792759e+01,1.370091813871e-05,-3.039423543623e+00,3.708332825904e+01,1.760319323628e-05,1.485117977280e-01,3.665033144614e-02,3.902275097574e-06
"                  62",-3.213024905830e+00,3.713349723734e+01,1.384917044972e-05,-3.063663817573e+00,3.717035192122e+01,1.699709307042e-05,1.493610882565e-01,3.685468388492e-02,3.147922620697e-06
"                  63",-3.239155731469e+00,3.721049940229e+01,1.397431425621e-05,-3.088956963397e+00,3.724753417479e+01,1.650541465406e-05,1.501987680715e-01,3.703477249810e-02,2.531100397851e-06
"                  64",-3.264833878306e+00,3.731133167371e+01,1.406692673396e-05,-3.113844927166e+00,3.734850384385e+01,1.618796956809e-05,1.509889511396e-01,3.717217014123e-02,2.121042834131e-06
"                  65",-3.289356523192e+00,3.745214231371e+01,1.415663273710e-05,-3.137615859597e+00,3.748940363281e+01,1.570161144405e-05,1.517406635954e-01,3.726131910513e-02,1.544978706941e-06
"                  66",-3.312140140774e+00,3.761935689505e+01,1.423696931443e-05,-3.159605825384e+00,3.765669470030e+01,1.504661544720e-05,1.525343153903e-01,3.733780524591e-02,8.096461327742e-07
"                  67",-3.333882215484e+00,3.778473605146e+01,1.432838238994e-05,-3.180526572387e+00,3.782216598817e+01,1.426888692896e-05,1.533556430973e-01,3.742993671451e-02,-5.949546097715e-08
"                  68",-3.355520695376e+00,3.791601664263e+01,1.442627770087e-05,-3.201350293644e+00,3.795356235523e+01,1.322949473290e-05,1.541704017318e-01,3.754571260214e-02,-1.196782967978e-06
"                  69",-3.377570175658e+00,3.800214859305e+01,1.446203750711e-05,-3.222620249219e+00,3.803983781859e+01,1.224348106124e-05,1.549499264388e-01,3.768922553513e-02,-2.218556445872e-06
"                  70",-3.399687753219e+00,3.806550966942e+01,1.439407483522e-05,-3.244020695957e+00,3.810332871900e+01,1.089192677471e-05,1.556670572625e-01,3.781904958093e-02,-3.502148060508e-06
"                  71",-3.421273918857e+00,3.814066194474e+01,1.424990749815e-05,-3.264884775760e+00,3.817859155148e+01,9.659450879197e-06,1.563891430974e-01,3.792960673336e-02,-4.590456618951e-06
"                  72",-3.441590509857e+00,3.824512381466e+01,1.417488627290e-05,-3.284390745689e+00,3.828315567990e+01,8.951502872057e-06,1.571997641674e-01,3.803186523785e-02,-5.223383400847e-06
"                  73",-3.460542080036e+00,3.837423742703e+01,1.437600097817e-05,-3.302476645995e+00,3.841235812526e+01,8.888353470755e-06,1.580654340402e-01,3.812069823100e-02,-5.487647507411e-06
"                  74",-3.478941421975e+00,3.850948000542e+01,1.466271674507e-05,-3.319932797062e+00,3.854770977209e+01,9.765965703862e-06,1.590086249128e-01,3.822976666968e-02,-4.896751041207e-06
"                  75",-3.497678919989e+00,3.863255195349e+01,1.516354399405e-05,-3.337683289418e+00,3.867088623616e+01,1.216610614699e-05,1.599956305709e-01,3.833428267372e-02,-2.997437847066e-06
"                  76",-3.516506388966e+00,3.873386233163e+01,1.542385492228e-05,-3.355456424702e+00,3.877230204133e+01,1.432059949988e-05,1.610499642633e-01,3.843970969770e-02,-1.103255422406e-06
"                  77",-3.534858737632e+00,3.881790532178e+01,1.567707834800e-05,-3.372649216467e+00,3.885647253189e+01,1.613994934946e-05,1.622095211653e-01,3.856721010786e-02,4.628710014548e-07
"                  78",-3.552045916695e+00,3.889334210093e+01,1.569794610071e-05,-3.388567776871e+00,3.893208040503e+01,1.667666512487e-05,1.634781398240e-01,3.873830409645e-02,9.787190241671e-07
"                  79",-3.568470271742e+00,3.897198774554e+01,1.563401882566e-05,-3.403625297705e+00,3.901093596783e+01,1.582702080559e-05,1.648449740378e-01,3.894822228721e-02,1.930019799312e-07
"                  80",-3.584019404719e+00,3.906558767691e+01,1.549087592684e-05,-3.417787381398e+00,3.910477830479e+01,1.450818330698e-05,1.662320233212e-01,3.919062788243e-02,-9.826926198573e-07
"                  81",-3.599181577464e+00,3.916828565495e+01,1.536219715602e-05,-3.431554904398e+00,3.920773520155e+01,1.322021454845e-05,1.676266730661e-01,3.944954660201e-02,-2.141982607577e-06
"                  82",-3.614362555238e+00,3.927481632182e+01,1.527930176926e-05,-3.445318984146e+00,3.931452305743e+01,1.181177038495e-05,1.690435710918e-01,3.970673560785e-02,-3.467531384308e-06
"                  83",-3.630384258774e+00,3.937653207171e+01,1.524092338635e-05,-3.459862319947e+00,3.941651586047e+01,1.016225504740e-05,1.705219388268e-01,3.998378876416e-02,-5.078668338957e-06
"                  84",-3.647000932444e+00,3.946717749479e+01,1.524639721340e-05,-3.474984902609e+00,3.950745275852e+01,8.646906313438e-06,1.720160298346e-01,4.027526372947e-02,-6.599490899957e-06
"                  85",-3.663272120882e+00,3.954739802966e+01,1.527600531742e-05,-3.489816448836e+00,3.958793827904e+01,7.010979146198e-06,1.734556720453e-01,4.054024938383e-02,-8.265026171225e-06
"                  86",-3.678497654011e+00,3.962281117610e+01,1.530774007365e-05,-3.503662266228e+00,3.966358722085e+01,5.613646834410e-06,1.748353877832e-01,4.077604474647e-02,-9.694093239241e-06
"                  87",-3.693011948106e+00,3.969822420604e+01,1.534848932266e-05,-3.516840427231e+00,3.973921249859e+01,4.154810472463e-06,1.761715208746e-01,4.098829255736e-02,-1.119367885019e-05
"                  88",-3.707231431398e+00,3.977576056351e+01,1.553967979787e-05,-3.529724149694e+00,3.981695251609e+01,2.736589537176e-06,1.775072817039e-01,4.119195257646e-02,-1.280309026070e-05
"                  89",-3.721351407338e+00,3.985485362466e+01,1.585302427248e-05,-3.542494905761e+00,3.989625661725e+01,1.169960036257e-06,1.788565015768e-01,4.140299258714e-02,-1.468306423622e-05
"                  90",-3.735275354252e+00,3.993268370454e+01,1.623976922329e-05,-3.555027931966e+00,3.997429630240e+01,-9.375252089136e-07,1.802474222851e-01,4.161259785529e-02,-1.717729443220e-05
"                  91",-3.748937345375e+00,4.000733473673e+01,1.673029481155e-05,-3.567267246851e+00,4.004914332080e+01,-2.475034514592e-06,1.816700985238e-01,4.180858406482e-02,-1.920532932614e-05
